term_set,label,pattern,attr,replace,inside,postal
us_locations,us_county,dorchester,lower,,MD SC,
us_locations,us_county,dougherty,lower,,GA,
us_locations,us_county,douglas,lower,,CO GA IL KS MN MO NE NV OR SD WA WI,
us_locations,us_county,drew,lower,,AR,
us_locations,us_county,dubois,lower,,IN,
us_locations,us_county,dubuque,lower,,IA,
us_locations,us_county,duchesne,lower,,UT,
us_locations,us_county,dukes,lower,,MA,
us_locations,us_county,dundy,lower,,NE,
us_locations,us_county,dunklin,lower,,MO,
us_locations,us_county,dunn,lower,,ND WI,
us_locations,us_county,dupage,lower,,IL,
us_locations,us_county,duplin,lower,,NC,
us_locations,us_county,durham,lower,,NC,
us_locations,us_county,dutchess,lower,,NY,
us_locations,us_county,duval,lower,,FL TX,
us_locations,us_county,dyer,lower,,TN,
us_locations,us_county,eagle,lower,,CO,
us_locations,us_county,early,lower,,GA,
us_locations,us_county,east baton rouge,lower,,LA,
us_locations,us_county,east carroll,lower,,LA,
us_locations,us_county,east feliciana,lower,,LA,
us_locations,us_county,eastland,lower,,TX,
us_locations,us_county,eaton,lower,,MI,
us_locations,us_county,eau claire,lower,,WI,
us_locations,us_county,echols,lower,,GA,
us_locations,us_county,ector,lower,,TX,
us_locations,us_county,eddy,lower,,NM ND,
us_locations,us_county,edgar,lower,,IL,
us_locations,us_county,edgecombe,lower,,NC,
us_locations,us_county,edgefield,lower,,SC,
us_locations,us_county,edmonson,lower,,KY,
us_locations,us_county,edmunds,lower,,SD,
us_locations,us_county,edwards,lower,,IL KS TX,
us_locations,us_county,effingham,lower,,GA IL,
us_locations,us_county,el dorado,lower,,CA,
us_locations,us_county,el paso,lower,,CO TX,
us_locations,us_county,elbert,lower,,CO GA,
us_locations,us_county,elk,lower,,KS PA,
us_locations,us_county,elkhart,lower,,IN,
us_locations,us_county,elko,lower,,NV,
us_locations,us_county,elliott,lower,,KY,
us_locations,us_county,ellis,lower,,KS OK TX,
us_locations,us_county,ellsworth,lower,,KS,
us_locations,us_county,elmore,lower,,AL ID,
us_locations,us_county,emanuel,lower,,GA,
us_locations,us_county,emery,lower,,UT,
us_locations,us_county,emmet,lower,,IA MI,
us_locations,us_county,emmons,lower,,ND,
us_locations,us_county,emporia,lower,,VA,
us_locations,us_county,erath,lower,,TX,
us_locations,us_county,erie,lower,,NY OH PA,
us_locations,us_county,escambia,lower,,AL FL,
us_locations,us_county,esmeralda,lower,,NV,
us_locations,us_county,essex,lower,,MA NJ NY VT VA,
us_locations,us_county,estill,lower,,KY,
us_locations,us_county,etowah,lower,,AL,
us_locations,us_county,eureka,lower,,NV,
us_locations,us_county,evangeline,lower,,LA,
us_locations,us_county,evans,lower,,GA,
us_locations,us_county,fairbanks north star,lower,,AK,
us_locations,us_county,fairfax,lower,,VA VA,
us_locations,us_county,fairfield,lower,,CT OH SC,
us_locations,us_county,fall river,lower,,SD,
us_locations,us_county,fallon,lower,,MT,
us_locations,us_county,falls,lower,,TX,
us_locations,us_county,falls church,lower,,VA,
us_locations,us_county,fannin,lower,,GA TX,
us_locations,us_county,faribault,lower,,MN,
us_locations,us_county,faulk,lower,,SD,
us_locations,us_county,faulkner,lower,,AR,
us_locations,us_county,fauquier,lower,,VA,
us_locations,us_county,fayette,lower,,AL GA IL IN IA KY OH PA TN TX WV,
us_locations,us_county,fentress,lower,,TN,
us_locations,us_county,fergus,lower,,MT,
us_locations,us_county,ferry,lower,,WA,
us_locations,us_county,fillmore,lower,,MN NE,
us_locations,us_county,finney,lower,,KS,
us_locations,us_county,fisher,lower,,TX,
us_locations,us_county,flagler,lower,,FL,
us_locations,us_county,flathead,lower,,MT,
us_locations,us_county,fleming,lower,,KY,
us_locations,us_county,florence,lower,,SC WI,
us_locations,us_county,floyd,lower,,GA IN IA KY TX VA,
us_locations,us_county,fluvanna,lower,,VA,
us_locations,us_county,foard,lower,,TX,
us_locations,us_county,fond du lac,lower,,WI,
us_locations,us_county,ford,lower,,IL KS,
us_locations,us_county,forest,lower,,PA WI,
us_locations,us_county,forrest,lower,,MS,
us_locations,us_county,forsyth,lower,,GA NC,
us_locations,us_county,fort bend,lower,,TX,
us_locations,us_county,foster,lower,,ND,
us_locations,us_county,fountain,lower,,IN,
us_locations,us_county,franklin,lower,,AL AR FL GA ID IL IN IA KS KY LA ME MA MS MO NE NY NC OH PA TN TX VT VA VA WA,
us_locations,us_county,frederick,lower,,MD VA,
us_locations,us_county,fredericksburg,lower,,VA,
us_locations,us_county,freeborn,lower,,MN,
us_locations,us_county,freestone,lower,,TX,
us_locations,us_county,fremont,lower,,CO ID IA WY,
us_locations,us_county,fresno,lower,,CA,
us_locations,us_county,frio,lower,,TX,
us_locations,us_county,frontier,lower,,NE,
us_locations,us_county,fulton,lower,,AR GA IL IN KY NY OH PA,
us_locations,us_county,furnas,lower,,NE,
us_locations,us_county,gadsden,lower,,FL,
us_locations,us_county,gage,lower,,NE,
us_locations,us_county,gaines,lower,,TX,
us_locations,us_county,galax,lower,,VA,
us_locations,us_county,gallatin,lower,,IL KY MT,
us_locations,us_county,gallia,lower,,OH,
us_locations,us_county,galveston,lower,,TX,
us_locations,us_county,garden,lower,,NE,
us_locations,us_county,garfield,lower,,CO MT NE OK UT WA,
us_locations,us_county,garland,lower,,AR,
us_locations,us_county,garrard,lower,,KY,
us_locations,us_county,garrett,lower,,MD,
us_locations,us_county,garvin,lower,,OK,
us_locations,us_county,garza,lower,,TX,
us_locations,us_county,gasconade,lower,,MO,
us_locations,us_county,gaston,lower,,NC,
